gis_x;gis_y;distrito;barrio;calle;num_finca;color;bateria_linea;num_plazas
439885,41;4474488,36;01  CENTRO;01-01 PALACIO;CAÑOS DEL PERAL, CALLE, DE LOS;4;077214010 Verde;Línea;11
439504,67;4473883,66;01  CENTRO;01-01 PALACIO;CAÑOS VIEJOS, CUESTA, DE LOS;2;077214010 Verde;Línea;8
439498,47;4473883,12;01  CENTRO;01-01 PALACIO;CAÑOS VIEJOS, CUESTA, DE LOS;3;077214010 Verde;Línea;6
439910,74;4473770,38;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;5;077214010 Verde;Línea;6
439837,33;4473752,74;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;15;077214010 Verde;Línea;11
439760,43;4473710,6;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;32;077214010 Verde;Línea;6
439725,45;4473691,08;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;38;077214010 Verde;Línea;2
439741,25;4473700,08;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;38;077214010 Verde;Línea;2
439907,06;4473890,07;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;4;077214010 Verde;Línea;1
439896,49;4473869,51;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;10;077214010 Verde;Línea;5
439886,99;4473853,01;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;12;077214010 Verde;Línea;1
439882,03;4473842,41;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;14;077214010 Verde;Línea;1
439869,32;4473818,17;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;18;077214010 Verde;Línea;2
439768,99;4473735,75;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;39;077214010 Verde;Línea;15
439729,29;4473713,43;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;40;077214010 Verde;Línea;3
439871,24;4474111,27;01  CENTRO;01-01 PALACIO;CAVA DE SAN MIGUEL, CALLE, DE LA;3;077214010 Verde;Línea;2
439825,87;4473561,16;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;1;077214010 Verde;Línea;1
439787,14;4473588,95;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;1;077214010 Verde;Línea;3
439767,95;4473590,17;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;3;077214010 Verde;Línea;4
439746,07;4473584,17;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;7;077214010 Verde;Línea;5
439811,61;4473571,21;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;S/N;077214010 Verde;Línea;5
439843,9;4473654,2;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;3;077214010 Verde;Línea;5
439819,66;4473650,74;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;5;077214010 Verde;Línea;4
439816,61;4473658,11;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;5;077214010 Verde;Línea;2
439792,78;4473661,54;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;7;077214010 Verde;Línea;2
439755,57;4473661,25;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;9;077214010 Verde;Línea;7
439792,95;4473654,87;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;17;077214010 Verde;Línea;4
439334,49;4473938,18;01  CENTRO;01-01 PALACIO;CIEGOS, CUESTA, DE LOS;2;077214010 Verde;Línea;4
438978,25;4474059,03;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;255140000 Naranja;Línea;13
438953,34;4474053,12;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;255140000 Naranja;Línea;17
439020,98;4474066,21;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;255140000 Naranja;Batería;9
439021,69;4474042,87;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;255140000 Naranja;Batería;9
439104,2;4474056,25;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;255140000 Naranja;Línea;25
439104,94;4474049,18;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;255140000 Naranja;Línea;25
439869,03;4474190,08;01  CENTRO;01-01 PALACIO;COMANDANTE LAS MORENAS, PLAZA, DEL;3;077214010 Verde;Línea;2
439616,06;4474228,17;01  CENTRO;01-01 PALACIO;CRUZADA, CALLE, DE LA;5;077214010 Verde;Línea;2
439367,27;4473305,02;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;3;077214010 Verde;Línea;22
439318,19;4473344,84;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;10;077214010 Verde;Línea;1
439299,64;4473360,16;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;12;077214010 Verde;Línea;2
439280,91;4473374,86;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;14;077214010 Verde;Línea;6
439741,63;4474928,38;01  CENTRO;01-01 PALACIO;DOCTOR CARRACIDO, CALLE, DEL;1;077214010 Verde;Línea;1
439732,78;4474917,91;01  CENTRO;01-01 PALACIO;DOCTOR CARRACIDO, CALLE, DEL;1;077214010 Verde;Línea;4
439762,99;4473942,74;01  CENTRO;01-01 PALACIO;DOCTOR LETAMENDI, CALLE, DEL;1;077214010 Verde;Línea;9
439577,21;4473680,76;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;6;077214010 Verde;Línea;17
439486,91;4473692,97;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;7;077214010 Verde;Línea;12
439505,84;4473693,05;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;12;077214010 Verde;Línea;10
439470,97;4473703,13;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;14;077214010 Verde;Línea;4
439408,41;4473711,65;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;15;077214010 Verde;Línea;4
439377,82;4473717,23;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;19;077214010 Verde;Línea;1
439379,66;4473722,08;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;20;077214010 Verde;Línea;4
439667,65;4474607,52;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;1;077214010 Verde;Línea;7
439674,05;4474605,31;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;2;077214010 Verde;Línea;5
439659,2;4474624,03;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;4;077214010 Verde;Línea;1
439614,99;4474672,57;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;5;077214010 Verde;Línea;1
439645,53;4474641,29;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;6;077214010 Verde;Línea;6
439635,11;4474647,65;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;8;077214010 Verde;Línea;9
439619,24;4474673,73;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;10;077214010 Verde;Línea;3
439674,88;4474573,75;01  CENTRO;01-01 PALACIO;ENCARNACION, PLAZA, DE LA;4;077214010 Verde;Línea;5
439680,97;4474570,9;01  CENTRO;01-01 PALACIO;ENCARNACION, PLAZA, DE LA;4;077214010 Verde;Línea;5
439820,59;4474303,65;01  CENTRO;01-01 PALACIO;ESCALINATA, CALLE, DE LA;9;077214010 Verde;Línea;5
439781,07;4474307,32;01  CENTRO;01-01 PALACIO;ESPEJO, CALLE, DEL;12;077214010 Verde;Línea;3
439548,61;4474156,88;01  CENTRO;01-01 PALACIO;FACTOR, CALLE, DEL;5;077214010 Verde;Línea;4
439537,3;4474205,31;01  CENTRO;01-01 PALACIO;FACTOR, CALLE, DEL;7;077214010 Verde;Línea;1
439524,85;4474228,69;01  CENTRO;01-01 PALACIO;FACTOR, CALLE, DEL;14;077214010 Verde;Línea;4
439782,23;4474869,15;01  CENTRO;01-01 PALACIO;FLOR BAJA, CALLE, DE LA;5;077214010 Verde;Línea;6
439757,05;4474879,67;01  CENTRO;01-01 PALACIO;FLOR BAJA, CALLE, DE LA;6;077214010 Verde;Línea;1
439738,24;4474888,04;01  CENTRO;01-01 PALACIO;FLOR BAJA, CALLE, DE LA;11;077214010 Verde;Línea;5
439683,66;4474850,8;01  CENTRO;01-01 PALACIO;FOMENTO, CALLE, DE;36;077214010 Verde;Línea;2
439368,55;4473797,19;01  CENTRO;01-01 PALACIO;GABRIEL MIRO, PLAZA, DE;1;077214010 Verde;Línea;11
439366,82;4473769,94;01  CENTRO;01-01 PALACIO;GABRIEL MIRO, PLAZA, DE;2;077214010 Verde;Línea;15
439356,61;4473747,04;01  CENTRO;01-01 PALACIO;GABRIEL MIRO, PLAZA, DE;4;077214010 Verde;Línea;4
439338,36;4473729,73;01  CENTRO;01-01 PALACIO;GABRIEL MIRO, PLAZA, DE;7;077214010 Verde;Línea;4
439341,11;4473723,15;01  CENTRO;01-01 PALACIO;GABRIEL MIRO, PLAZA, DE;7;077214010 Verde;Batería;10
439929,49;4473868,67;01  CENTRO;01-01 PALACIO;GRAFAL, CALLE, DE;6;077214010 Verde;Línea;4
439553,36;4473272,35;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;4;077214010 Verde;Línea;4
439540,59;4473262,48;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;5;077214010 Verde;Línea;2
439532,28;4473308,17;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;6;077214010 Verde;Línea;9
439518,23;4473300,07;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;9;077214010 Verde;Línea;11
439469,83;4473394,98;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;11;077214010 Verde;Línea;1
439487,66;4473392,83;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;11;077214010 Verde;Línea;5
439464,64;4473408,89;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;11;077214010 Verde;Línea;2
439461,36;4473463,49;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;17;077214010 Verde;Línea;17
439446,82;4473456,94;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;17;077214010 Verde;Línea;7
439494,49;4473341,34;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;S/N;077214010 Verde;Línea;2
439451,46;4473320,82;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;S/N;077214010 Verde;Línea;18
439721,75;4474632,73;01  CENTRO;01-01 PALACIO;GUILLERMO ROLLAND, CALLE, DE;2;077214010 Verde;Línea;3
439680,82;4474683,35;01  CENTRO;01-01 PALACIO;GUILLERMO ROLLAND, CALLE, DE;11;077214010 Verde;Línea;3
439731,59;4473556,92;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;3;077214010 Verde;Línea;8
439712,57;4473643,11;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;4;077214010 Verde;Línea;6
439716,41;4473619,66;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;8;077214010 Verde;Línea;2
439720,95;4473594,81;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;10;077214010 Verde;Línea;2
439723,86;4473577,62;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;12;077214010 Verde;Línea;2
439725,91;4473565,95;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;14;077214010 Verde;Línea;2
439727,71;4473554,86;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;16;077214010 Verde;Línea;2
439726,99;4473514,22;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;20;077214010 Verde;Línea;3
439764,91;4474348,62;01  CENTRO;01-01 PALACIO;INDEPENDENCIA, CALLE, DE LA;3;077214010 Verde;Línea;4
439766,05;4474368,22;01  CENTRO;01-01 PALACIO;INDEPENDENCIA, CALLE, DE LA;4;077214010 Verde;Línea;1
439836,35;4474773,8;01  CENTRO;01-01 PALACIO;ISABEL LA CATOLICA, CALLE, DE;10;077214010 Verde;Línea;14
439547,98;4473346,99;01  CENTRO;01-01 PALACIO;ISABEL TINTERO, CALLE, DE;3;077214010 Verde;Línea;13
439309,4;4473619,43;01  CENTRO;01-01 PALACIO;JERTE, CALLE, DE;8;077214010 Verde;Línea;21
439644,78;4474146,75;01  CENTRO;01-01 PALACIO;JUAN DE HERRERA, CALLE, DE;3;077214010 Verde;Línea;3
439820,89;4474707,15;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;2;077214010 Verde;Línea;1
439806,86;4474723,87;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;4;077214010 Verde;Línea;4
439793,06;4474741,8;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;6;077214010 Verde;Línea;1
439781,57;4474763,1;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;8;077214010 Verde;Línea;5
439773,2;4474778,28;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;10;077214010 Verde;Línea;1
439762,26;4474798,05;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;14;077214010 Verde;Línea;5
439751,2;4474818,81;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;18;077214010 Verde;Línea;3
439728,16;4474865,1;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;24;077214010 Verde;Línea;8
439733,53;4474846,84;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;31;077214010 Verde;Línea;1
439720,86;4474872,7;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;35;077214010 Verde;Línea;4
439691,96;4474931,18;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;45;077214010 Verde;Línea;2
439692,98;4474936,32;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;45;077214010 Verde;Línea;6
439686,29;4474942,98;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;47;077214010 Verde;Línea;1
439701,42;4473547,77;01  CENTRO;01-01 PALACIO;LUCIENTE, CALLE, DE;3;077214010 Verde;Línea;9
439661,76;4473556,81;01  CENTRO;01-01 PALACIO;LUCIENTE, CALLE, DE;11;077214010 Verde;Línea;4
439639,47;4473561,74;01  CENTRO;01-01 PALACIO;LUCIENTE, CALLE, DE;15;077214010 Verde;Línea;3
439593,82;4473730,39;01  CENTRO;01-01 PALACIO;MANCEBOS, CALLE, DE LOS;4;077214010 Verde;Línea;8
439556,07;4473736,71;01  CENTRO;01-01 PALACIO;MANCEBOS, CALLE, DE LOS;8;077214010 Verde;Línea;7
439526,91;4473762,72;01  CENTRO;01-01 PALACIO;MANCEBOS, CALLE, DE LOS;11;077214010 Verde;Línea;2
439513,41;4473787,96;01  CENTRO;01-01 PALACIO;MANCEBOS, CALLE, DE LOS;16;077214010 Verde;Batería;8
439499,24;4473824,24;01  CENTRO;01-01 PALACIO;MANCEBOS, CALLE, DE LOS;17;077214010 Verde;Línea;6
439502,07;4473825,37;01  CENTRO;01-01 PALACIO;MANCEBOS, CALLE, DE LOS;18;077214010 Verde;Línea;6
439149,46;4473848,29;01  CENTRO;01-01 PALACIO;MANZANARES, CALLE, DEL;S/N;077214010 Verde;Línea;2
439833,1;4474161,33;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;48;077214010 Verde;Línea;5
439436,71;4474076,52;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;81;077214010 Verde;Línea;3
439400,81;4474070,47;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;83;077214010 Verde;Batería;2
439415,61;4474069,11;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;83;077214010 Verde;Batería;4
439380,88;4474072,93;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;85;077214010 Verde;Línea;6
439386,09;4474080,95;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;90;077214010 Verde;Línea;2
439409,58;4474079,09;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;90;077214010 Verde;Línea;5
439355,79;4474084,49;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;92;077214010 Verde;Línea;4
439340,74;4474083,58;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;92;077214010 Verde;Línea;2
439320,15;4474022,31;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;S/N;077214010 Verde;Batería;10
439330,67;4474055,03;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;S/N;077214010 Verde;Línea;20
439323,97;4474068,27;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;S/N;077214010 Verde;Línea;6
439696,66;4473503,21;01  CENTRO;01-01 PALACIO;MEDIODIA GRANDE, CALLE, DEL;3;077214010 Verde;Línea;10
439614,95;4473519,9;01  CENTRO;01-01 PALACIO;MEDIODIA GRANDE, CALLE, DEL;22;077214010 Verde;Línea;5
439530,78;4473878,65;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;4;077214010 Verde;Línea;10
439505,62;4473853,42;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;7;077214010 Verde;Línea;2
439414,32;4473830,55;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;10;077214010 Verde;Línea;7
439471,84;4473847,8;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;11;077214010 Verde;Línea;6
439410,8;4473823,15;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;15;077214010 Verde;Línea;7
439510;4473865,84;01  CENTRO;01-01 PALACIO;MORERIA, PLAZA, DE LA;5;077214010 Verde;Batería;4
439575,88;4474269,27;01  CENTRO;01-01 PALACIO;NOBLEJAS, CALLE, DE;2;077214010 Verde;Línea;8
439549,32;4474270,38;01  CENTRO;01-01 PALACIO;NOBLEJAS, CALLE, DE;4;077214010 Verde;Línea;2
439694,86;4473609,05;01  CENTRO;01-01 PALACIO;ORIENTE, CALLE, DE;3;077214010 Verde;Línea;8
439661,86;4473616,5;01  CENTRO;01-01 PALACIO;ORIENTE, CALLE, DE;11;077214010 Verde;Línea;3
439613,21;4473404,61;01  CENTRO;01-01 PALACIO;PALOMA, CALLE, DE LA;2;077214010 Verde;Línea;7
439609,03;4473381,27;01  CENTRO;01-01 PALACIO;PALOMA, CALLE, DE LA;6;077214010 Verde;Línea;3
439604,79;4473358,91;01  CENTRO;01-01 PALACIO;PALOMA, CALLE, DE LA;13;077214010 Verde;Línea;6
439536,49;4473994,74;01  CENTRO;01-01 PALACIO;PRETIL DE LOS CONSEJOS, CALLE, DEL;7;077214010 Verde;Batería;6
439893,78;4474433,77;01  CENTRO;01-01 PALACIO;PRIORA, CALLE, DE LA;2;077214010 Verde;Línea;1
439676,93;4473672,48;01  CENTRO;01-01 PALACIO;PUERTA DE MOROS, PLAZA, DE LA;3;077214010 Verde;Línea;5
439375,97;4473989,73;01  CENTRO;01-01 PALACIO;RAMON, CUESTA, DE;1;077214010 Verde;Línea;23
439557,35;4473797,19;01  CENTRO;01-01 PALACIO;REDONDILLA, CALLE, DE LA;5;077214010 Verde;Línea;3
439537,35;4473781,94;01  CENTRO;01-01 PALACIO;REDONDILLA, CALLE, DE LA;9;077214010 Verde;Línea;3
439467,91;4473726,32;01  CENTRO;01-01 PALACIO;REDONDILLA, CALLE, DE LA;14;077214010 Verde;Línea;1
439458,2;4473717,99;01  CENTRO;01-01 PALACIO;REDONDILLA, CALLE, DE LA;14;077214010 Verde;Línea;2
439463,95;4473717,98;01  CENTRO;01-01 PALACIO;REDONDILLA, CALLE, DE LA;17;077214010 Verde;Línea;3
439413,46;4473467,54;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;7;077214010 Verde;Línea;8
439386,17;4473452,9;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;13;077214010 Verde;Línea;2
439370,71;4473444,66;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;17;077214010 Verde;Línea;1
439356,99;4473437,53;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;19;077214010 Verde;Línea;2
439343,09;4473437;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;21;077214010 Verde;Línea;43
439325,01;4473420,52;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;25;077214010 Verde;Línea;10
439277,93;4473395,72;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;31;077214010 Verde;Línea;6
439617,46;4473875,15;01  CENTRO;01-01 PALACIO;SAN ANDRES, COSTANILLA, DE;6;077214010 Verde;Línea;15
439601,59;4473833,74;01  CENTRO;01-01 PALACIO;SAN ANDRES, COSTANILLA, DE;10;077214010 Verde;Línea;1
439439,39;4473422,94;01  CENTRO;01-01 PALACIO;SAN BERNABE, CALLE, DE;8;077214010 Verde;Línea;4
